"13rb -- Sähkön hinta kuluttajatyypeittäin, 2008M01-2024M06"

"Kuukausi";"Hintakomponentti";"Sähkön kuluttajatyyppi";"Hinta, vuosimuutos (%)"
"2011M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";2.0
"2011M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";3.6
"2011M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";0.9
"2011M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";0.0
"2011M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";1.8
"2011M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";0.4
"2011M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-1.6
"2011M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-8.4
"2011M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-16.1
"2011M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";11.0
"2011M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";4.1
"2011M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";2.2
"2011M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-2.1
"2011M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-6.3
"2011M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-7.4
"2011M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";10.1
"2011M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";7.9
"2011M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";5.2
"2011M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";4.1
"2011M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-1.2
"2011M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-0.4
"2011M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";9.2
"2011M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";9.5
"2011M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";5.7
"2011M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";5.0
"2011M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";2.7
"2011M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";1.3
"2011M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";10.5
"2011M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";7.5
"2011M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";5.1
"2011M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";4.1
"2011M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";0.5
"2011M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";2.1
"2011M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";10.8
"2011M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";7.4
"2011M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";5.1
"2011M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";2.8
"2011M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-3.8
"2011M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";1.3
"2011M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";9.5
"2011M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";7.4
"2011M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";4.5
"2011M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";1.6
"2011M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-3.4
"2011M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";0.7
"2011M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";7.9
"2011M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";4.7
"2011M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";2.0
"2011M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-0.8
"2011M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-4.5
"2011M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-1.1
"2011M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";8.6
"2011M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";5.2
"2011M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";3.4
"2011M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";3.4
"2011M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-6.5
"2011M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-3.3
"2011M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";8.7
"2011M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";5.7
"2011M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";3.7
"2011M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";1.6
"2011M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-7.5
"2011M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-6.0
"2011M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";4.1
"2011M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";2.6
"2011M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";0.8
"2011M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-1.6
"2011M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-14.3
"2011M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-9.9
"2012M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";2.2
"2012M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";2.7
"2012M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-0.7
"2012M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-3.6
"2012M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-18.0
"2012M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-9.5
"2012M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-1.1
"2012M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";0.3
"2012M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-1.0
"2012M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-3.9
"2012M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-12.4
"2012M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-9.5
"2012M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-2.6
"2012M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-1.8
"2012M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-1.0
"2012M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-0.7
"2012M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-13.2
"2012M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-11.6
"2012M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-3.1
"2012M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-3.4
"2012M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-1.4
"2012M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-4.8
"2012M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-13.8
"2012M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-11.4
"2012M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-3.1
"2012M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-3.1
"2012M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-2.2
"2012M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-3.0
"2012M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-12.5
"2012M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-10.1
"2012M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-5.9
"2012M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-3.2
"2012M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-2.9
"2012M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-4.8
"2012M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-15.1
"2012M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-10.4
"2012M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-7.1
"2012M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-3.6
"2012M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-5.2
"2012M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-5.4
"2012M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-11.5
"2012M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-9.3
"2012M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-5.1
"2012M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-5.0
"2012M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-7.1
"2012M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-1.5
"2012M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-9.6
"2012M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-9.4
"2012M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-1.5
"2012M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";0.4
"2012M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";2.9
"2012M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";1.1
"2012M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";0.7
"2012M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-3.5
"2012M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-2.0
"2012M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-1.7
"2012M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-0.1
"2012M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";0.2
"2012M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";4.6
"2012M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-4.3
"2012M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-3.4
"2012M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-2.0
"2012M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-1.6
"2012M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-1.6
"2012M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";1.8
"2012M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-2.5
"2012M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-2.6
"2012M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-0.3
"2012M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";0.9
"2012M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";0.6
"2012M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";2.6
"2012M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-3.0
"2013M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";2.5
"2013M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";1.0
"2013M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";1.1
"2013M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";1.1
"2013M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-3.1
"2013M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-4.8
"2013M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";2.6
"2013M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-0.8
"2013M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-2.1
"2013M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-3.3
"2013M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-8.2
"2013M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-1.8
"2013M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";0.6
"2013M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-0.4
"2013M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-2.5
"2013M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-2.9
"2013M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-3.4
"2013M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-0.1
"2013M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-0.3
"2013M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";1.0
"2013M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-2.7
"2013M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-1.8
"2013M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";1.7
"2013M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";0.4
"2013M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";0.6
"2013M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";1.0
"2013M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-0.5
"2013M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-3.0
"2013M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";2.9
"2013M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-0.6
"2013M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";3.4
"2013M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";0.8
"2013M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-0.6
"2013M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-0.7
"2013M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";5.8
"2013M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";1.5
"2013M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";2.2
"2013M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";2.0
"2013M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";3.2
"2013M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";3.7
"2013M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";8.5
"2013M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";1.7
"2013M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";0.3
"2013M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";2.6
"2013M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";5.1
"2013M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-1.4
"2013M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";6.7
"2013M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";4.7
"2013M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-2.6
"2013M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-1.0
"2013M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-1.8
"2013M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";0.9
"2013M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-0.9
"2013M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";1.0
"2013M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-2.1
"2013M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";0.0
"2013M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";0.3
"2013M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-1.1
"2013M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-0.8
"2013M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";1.9
"2013M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-1.0
"2013M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-0.7
"2013M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";0.8
"2013M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";0.1
"2013M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";0.4
"2013M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";1.7
"2013M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-0.5
"2013M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-1.7
"2013M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-1.4
"2013M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-3.7
"2013M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-4.4
"2013M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-1.5
"2014M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-2.1
"2014M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-2.7
"2014M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-2.4
"2014M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";-4.8
"2014M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";-0.6
"2014M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";1.7
"2014M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-3.0
"2014M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-2.5
"2014M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-1.8
